start_date,start_time,distance,distance_raw,short_unit,moving_time,elapsed_time
"Sun, 04/10/2020",2020-10-04T09:55:16+0000,2.29,2290.6,km,11:35,14:20
"Tue, 06/10/2020",2020-10-06T09:15:01+0000,12.01,12009.2,km,1:00:26,1:11:33
"Wed, 07/10/2020",2020-10-07T10:10:55+0000,9.93,9930.6,km,53:44:00,56:47:00
"Thu, 08/10/2020",2020-10-08T12:38:59+0000,5.01,5009.2,km,24:02:00,24:02:00
"Thu, 15/10/2020",2020-10-15T11:33:39+0000,5.08,5083.1,km,25:26:00,25:26:00
"Sat, 17/10/2020",2020-10-17T10:29:17+0000,3.92,3925.9,km,20:26,20:26
"Sun, 18/10/2020",2020-10-18T09:21:33+0000,3.43,3434.7,km,21:59,22:00
"Mon, 19/10/2020",2020-10-19T10:08:58+0000,3.88,3888.6,km,18:20,18:37
"Tue, 20/10/2020",2020-10-20T10:22:27+0000,3.29,3295.4,km,16:11,20:44
"Wed, 21/10/2020",2020-10-21T10:30:33+0000,3.96,3963.3,km,20:28,20:28
"Thu, 22/10/2020",2020-10-22T11:15:19+0000,3.93,3937,km,17:56,17:56
"Fri, 23/10/2020",2020-10-23T10:13:03+0000,5.32,5328.5,km,30:41:00,36:26:00
"Sun, 25/10/2020",2020-10-25T11:15:45+0000,3.62,3624.6,km,14:37,14:37
"Wed, 04/11/2020",2020-11-04T04:48:10+0000,3.97,3972.4,km,20:56,21:03
"Thu, 05/11/2020",2020-11-05T09:02:50+0000,6.25,6253.3,km,36:04:00,41:46:00
"Fri, 06/11/2020",2020-11-06T10:11:02+0000,3.92,3925,km,18:30,18:30
"Sun, 08/11/2020",2020-11-08T09:14:07+0000,8.17,8170.6,km,45:42:00,49:46:00
"Mon, 09/11/2020",2020-11-09T09:02:20+0000,3.97,3975.9,km,21:00,21:00
"Tue, 10/11/2020",2020-11-10T10:10:24+0000,3.97,3972.3,km,21:07,21:07
"Wed, 11/11/2020",2020-11-11T11:27:31+0000,2.12,2121.9,km,10:03,10:18
"Thu, 12/11/2020",2020-11-12T10:42:48+0000,5.38,5380,km,28:43:00,32:35:00
"Sat, 14/11/2020",2020-11-14T09:27:19+0000,5.1,5106.4,km,32:21:00,32:46:00
"Mon, 16/11/2020",2020-11-16T10:54:45+0000,4.56,4565.9,km,22:55,23:57
"Tue, 17/11/2020",2020-11-17T08:54:22+0000,1.85,1849,km,8:48,9:58
"Wed, 18/11/2020",2020-11-18T10:01:52+0000,9.89,9894.2,km,50:24:00,55:55:00
"Mon, 23/11/2020",2020-11-23T10:01:48+0000,3.95,3958.9,km,18:58,18:58
"Tue, 24/11/2020",2020-11-23T22:25:33+0000,4,4008.3,km,20:06,20:06
"Wed, 25/11/2020",2020-11-24T22:11:19+0000,3.95,3952.2,km,19:41,19:41
"Thu, 26/11/2020",2020-11-25T22:22:05+0000,3.92,3922.6,km,19:38,19:38
"Sat, 28/11/2020",2020-11-28T10:22:54+0000,7.22,7220.8,km,39:31:00,44:51:00
"Mon, 30/11/2020",2020-11-30T09:39:15+0000,4.22,4221.8,km,24:59:00,27:35:00
"Tue, 01/12/2020",2020-12-01T10:06:28+0000,3.92,3926.6,km,19:41,19:41
"Fri, 04/12/2020",2020-12-04T11:30:45+0000,4.57,4572.1,km,23:13,25:47:00
"Sat, 05/12/2020",2020-12-05T11:03:00+0000,3.97,3978.3,km,19:48,19:48
"Sun, 06/12/2020",2020-12-06T10:10:09+0000,4.05,4055.6,km,20:01,20:56
"Tue, 08/12/2020",2020-12-08T09:47:34+0000,1.79,1794.9,km,11:02,15:42
"Thu, 10/12/2020",2020-12-10T10:04:48+0000,10.03,10036.3,km,53:47:00,1:01:48
"Fri, 11/12/2020",2020-12-11T09:55:48+0000,2.77,2772.9,km,14:10,14:44
"Sat, 12/12/2020",2020-12-11T21:59:37+0000,3.93,3937.6,km,20:17,20:17
"Mon, 14/12/2020",2020-12-14T10:16:06+0000,3.92,3928.1,km,19:40,19:40
